title,summary
Interstellar (film),"Interstellar is a 2014 epic science fiction film directed, co-written and co-produced by Christopher Nolan. It stars  Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine. Set in a dystopian future where humanity is struggling to survive, the film follows a group of astronauts who travel through a wormhole near Saturn in search of a new home for humanity.
Brothers Christopher and Jonathan Nolan wrote the screenplay, which had its origins in a script Jonathan developed in 2007. Christopher produced Interstellar with his wife, Emma Thomas, through their production company Syncopy, and with Lynda Obst through Lynda Obst Productions. Caltech theoretical physicist Kip Thorne was an executive producer, acted as scientific consultant, and wrote a tie-in book, The Science of Interstellar. Paramount Pictures, Warner Bros., and Legendary Pictures co-financed the film. Cinematographer Hoyte van Hoytema shot it on 35 mm in anamorphic format and IMAX 70 mm. Principal photography began in late 2013 and took place in Alberta (Canada), Iceland and Los Angeles. Interstellar uses extensive practical and miniature effects and the company Double Negative created additional digital effects.
Interstellar premiered on October 26, 2014, in Los Angeles, California. In the United States, it was first released on film stock, expanding to venues using digital projectors. The film had a worldwide gross of over $677 million, making it the tenth-highest-grossing film of 2014. Interstellar received positive reviews for its screenplay, direction, themes, visual effects, musical score, acting, and ambition. At the 87th Academy Awards, the film won the Academy Award for Best Visual Effects, and was nominated for Best Original Score, Best Sound Mixing, Best Sound Editing and Best Production Design."
The Good Liar,"The Good Liar is a 2019 crime thriller film directed and produced by Bill Condon and written by Jeffrey Hatcher, based on the novel of the same name by Nicholas Searle. It stars Ian McKellen as a career con artist who meets a wealthy widow (Helen Mirren) online, and then discovers that his plan to steal her fortune has unexpected roadblocks.
The film was released in the United Kingdom on November 8, 2019, and in the United States on November 15, 2019. It received mixed reviews from critics and grossed $33 million against a budget of $10 million."
Spirited Away,"Spirited Away (Japanese: 千と千尋の神隠し, Hepburn: Sen to Chihiro no Kamikakushi, ""Sen and Chihiro’s Spiriting Away"") is a 2001 Japanese animated fantasy film written and directed by Hayao Miyazaki, animated by Studio Ghibli for Tokuma Shoten, Nippon Television Network, Dentsu, Buena Vista Home Entertainment, Tohokushinsha Film and Mitsubishi, and distributed by Toho. The film stars Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takeshi Naito, Yasuko Sawaguchi, Tsunehiko Kamijō, Takehiko Ono, and Bunta Sugawara. Spirited Away tells the story of Chihiro Ogino (Hiiragi), a 10-year-old girl who, while moving to a new neighbourhood, enters the world of Kami (spirits) of Japanese Shinto folklore. After her parents are turned into pigs by the witch Yubaba (Natsuki), Chihiro takes a job working in Yubaba's bathhouse to find a way to free herself and her parents and return to the human world.
Miyazaki wrote the script after he decided the film would be based on the 10-year-old daughter of his friend Seiji Okuda, the movie's associate producer, who came to visit his house each summer. At the time, Miyazaki was developing two personal projects, but they were rejected. With a budget of 19 million US dollars, production of Spirited Away began in 2000. Pixar animator John Lasseter, a fan and friend of Miyazaki, convinced Walt Disney Pictures to buy the film's North American distribution rights and served as executive producer of its English-dubbed version. Lasseter then hired Kirk Wise as director and Donald W. Ernst as producer of the version while screenwriters Cindy Davis Hewitt and Donald H. Hewitt wrote the English-language dialogue in order to match the characters' original Japanese-language lip movements.The film was originally released in Japan on 20 July 2001 by distributor Toho. It became the most successful film in Japanese history, grossing over $347 million worldwide. The film overtook Titanic (the top-grossing film worldwide at the time) in the Japanese box office to become the highest-grossing film in Japanese history with a total of  ¥30.8 billion. Spirited Away received universal acclaim and is frequently ranked among the greatest animated films ever made. It won the Academy Award for Best Animated Feature at the 75th Academy Awards, making it the first (and, to date, only) hand-drawn and non-English-language animated film to win that award. It was the co-recipient of the Golden Bear at the 2002 Berlin International Film Festival (shared with Bloody Sunday) and is in the top 10 on the British Film Institute's list of ""Top 50 films for children up to the age of 14"".In 2016, it was voted the fourth-best film of the 21st century as picked by 177 film critics from around the world, making it the highest-ranking animated film on the list. It was also named the second ""Best Film of the 21st Century So Far"" in 2017 by The New York Times."
The Maltese Falcon (1941 film),"The Maltese Falcon is a 1941 film noir directed and scripted by John Huston in his directorial debut, based on the 1930 novel of the same name by Dashiell Hammett. It stars Humphrey Bogart as private investigator Sam Spade and Mary Astor as his femme fatale client. Gladys George, Peter Lorre, and Sydney Greenstreet co-star, with the latter appearing in his film debut. The story follows a San Francisco private detective and his dealings with three unscrupulous adventurers, all of whom are competing to obtain a jewel-encrusted falcon statuette.The film premiered in New York City on October 3, 1941, and was nominated for three Academy Awards. In 1989, it was one of the first 25 films selected by the Library of Congress to be included in the National Film Registry for being ""culturally, historically, or aesthetically significant"". It is a part of Roger Ebert's series The Great Movies and was cited by Panorama du Film Noir Américain as the first major film noir."
Bonnie and Clyde (film),"Bonnie and Clyde is a 1967 American biographical crime film directed by Arthur Penn and starring Warren Beatty and Faye Dunaway as the title characters Clyde Barrow and Bonnie Parker. The film also features Michael J. Pollard, Gene Hackman, and Estelle Parsons. The screenplay was written by David Newman and Robert Benton. Robert Towne and Beatty provided uncredited contributions to the script; Beatty produced the film. The soundtrack was composed by Charles Strouse.
Bonnie and Clyde is considered one of the first films of the New Hollywood era and a landmark film. It broke many cinematic taboos and for some members of the counterculture, the film was considered to be a ""rallying cry."" Its success prompted other filmmakers to be more open in presenting sex and violence in their films. The film's ending became iconic as ""one of the bloodiest death scenes in cinematic history.""The film received Academy Awards for Best Supporting Actress (Estelle Parsons) and Best Cinematography (Burnett Guffey). It was among the first 100 films selected for preservation in the United States National Film Registry as being ""culturally, historically, or aesthetically significant."""
Full Metal Jacket,"Full Metal Jacket is a 1987 war film directed, co-written, and produced by Stanley Kubrick and starring Matthew Modine, R. Lee Ermey, Vincent D'Onofrio and Adam Baldwin. The screenplay by Kubrick, Michael Herr, and Gustav Hasford was based on Hasford's novel The Short-Timers (1979). The storyline follows a platoon of U.S. Marines through their boot camp training in Marine Corps Recruit Depot Parris Island, South Carolina, primarily focusing on two privates, Joker and Pyle, who struggle under their abusive drill instructor, Gunnery Sergeant Hartman, and the experiences of two of the platoon's Marines in Vietnamese cities of Da Nang and Huế during the Tet Offensive of the Vietnam War. The film's title refers to the full metal jacket bullet used by military servicemen. The film was released in the United States on June 26, 1987.
Full Metal Jacket received critical acclaim and an Oscar nomination for Best Adapted Screenplay for Kubrick, Herr, and Hasford. In 2001, the American Film Institute placed it at No. 95 in their ""AFI's 100 Years...100 Thrills"" poll."
My Old School (film),My Old School is a 2013 historical documentary created by Jason Allard and Scott Gabrielson.
The Avengers (2012 film),"Marvel's The Avengers (classified under the name Marvel Avengers Assemble in the United Kingdom and Ireland), or simply The Avengers, is a 2012 American superhero film based on the Marvel Comics superhero team of the same name. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the sixth film in the Marvel Cinematic Universe (MCU). The film was written and directed by Joss Whedon and features an ensemble cast that includes Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, and Jeremy Renner as the Avengers, alongside Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, and Samuel L. Jackson. In the film, Nick Fury and the spy agency S.H.I.E.L.D. recruit Tony Stark, Steve Rogers, Bruce Banner, and Thor to form a team capable of stopping Thor's brother Loki from subjugating Earth.
The film's development began when Marvel Studios received a loan from Merrill Lynch in April 2005. After the success of the film Iron Man in May 2008, Marvel announced that The Avengers would be released in July 2011 and would bring together Tony Stark (Downey), Steve Rogers (Evans), Bruce Banner (Ruffalo), and Thor (Hemsworth) from Marvel's previous films. With the signing of Johansson as Natasha Romanoff in March 2009, the film was pushed back for a 2012 release. Whedon was brought on board in April 2010 and rewrote the original screenplay by Zak Penn. Production began in April 2011 in Albuquerque, New Mexico, before moving to Cleveland, Ohio, in August and New York City in September. The film features more than 2,200 visual effects shots.
The Avengers premiered at Hollywood's El Capitan Theatre on April 11, 2012, and was released in the United States on May 4, as the last film of Phase One of the MCU. It received praise for Whedon's direction and screenplay, visual effects, action sequences, acting, and musical score, and garnered numerous awards and nominations including Academy Award and BAFTA nominations for achievements in visual effects. The film grossed over $1.5 billion worldwide, setting numerous box office records and becoming the third-highest-grossing film of all time as well as the highest-grossing film of 2012. It is the first Marvel production to generate $1 billion in ticket sales. In 2017, The Avengers was featured as one of the 100 greatest films of all time in an Empire magazine poll. Three sequels have been released, Avengers: Age of Ultron in 2015, Avengers: Infinity War in 2018, and Avengers: Endgame in 2019."
A.I. Artificial Intelligence,"A.I. Artificial Intelligence (also known as A.I.) is a 2001 American science fiction drama film directed by Steven Spielberg. The screenplay by Spielberg and screen story by Ian Watson were loosely based on the 1969 short story ""Supertoys Last All Summer Long"" by Brian Aldiss. The film was produced by Kathleen Kennedy, Spielberg and Bonnie Curtis. It stars Haley Joel Osment, Jude Law, Frances O'Connor, Brendan Gleeson and William Hurt. Set in a futuristic post-climate change society, A.I. tells the story of David (Osment), a childlike android uniquely programmed with the ability to love.
Development of A.I. originally began with producer-director Stanley Kubrick, after he acquired the rights to Aldiss' story in the early 1970s. Kubrick hired a series of writers until the mid-1990s, including Brian Aldiss, Bob Shaw, Ian Watson, and Sara Maitland. The film languished in protracted development for years, partly because Kubrick felt computer-generated imagery was not advanced enough to create the David character, whom he believed no child actor would convincingly portray. In 1995, Kubrick handed A.I. to Spielberg, but the film did not gain momentum until Kubrick's death in 1999. Spielberg remained close to Watson's film treatment for the screenplay.
The film received positive reviews, and grossed approximately $235 million. The film was nominated for two Academy Awards at the 74th Academy Awards, for Best Visual Effects and Best Original Score (by John Williams).
In a 2016 BBC poll of 177 critics around the world, Steven Spielberg's A.I. Artificial Intelligence was voted the eighty-third-greatest film since 2000. A.I. is dedicated to Stanley Kubrick."
Caddyshack,"Caddyshack is a 1980 American sports comedy film directed by Harold Ramis, written by Brian Doyle-Murray, Ramis, and Douglas Kenney, and starring Chevy Chase, Rodney Dangerfield, Ted Knight, Michael O'Keefe, and Bill Murray. Doyle-Murray also has a supporting role.
Caddyshack was Ramis's directorial debut  and boosted the career of Dangerfield, who was previously known mostly for his stand-up comedy. Grossing nearly $40 million at the domestic box office (the 17th-highest of the year), it was the first of a series of similar comedies. A sequel, Caddyshack II (1988), followed, although only Chase reprised his role and the film was poorly received.
The film has a cult following and was described by ESPN as ""perhaps the funniest sports movie ever made."""
